Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
Age,3,3,3,3,3,6,6,6,12,12,12,18,18,18,18,18
main_Cerebellum_ANcr1gr,,,,,123,,,159,151.5,,98,110,,,,
main_Cerebellum_ANcr1mo,,,,,124.5,,,174,101,,113.5,104,,,,
main_Cerebellum_CENT2gr,133,,,,,138,125,,,146,,,123,133,128,
main_Cerebellum_CENT2mo,115,,,,,138,105,,,98.5,,,113,126,119.5,
main_Cerebellum_CENT3gr,149,149,146,147.5,113,147,141,130.5,140,147,140.5,149.5,135,148,141.5,111
main_Cerebellum_CENT3mo,129,157.5,133,145.25,96.5,153,110,144,137,113,90,154,113,142,127.5,197
"main_Cerebellum_CUL4,5gr",169,165,159,162,133,159,149,161,167,142,129.5,158,125,142,133.5,139
"main_Cerebellum_CUL4,5mo",146.5,130,108,119,96,145,117,143,138,75,69,135,101,127,114,76
main_Cerebellum_DECgr,145,137,119,128,131,144,133.5,,,109.5,,,108,116,112,
main_Cerebellum_DECmo,138,109,117,113,87,118,107,,,64.5,,,85,99,92,
main_Cerebellum_FN,23,28,22,25,1,28,19.5,11,,19,,,13,15,14,20
main_Cerebellum_FOTUgr,127,138.5,108.5,123.5,120,128,100.5,,,132,,,85,93,89,
main_Cerebellum_FOTUmo,135,140,136,138,114,141,117.5,,,87,,,70,85,77.5,
main_Cerebellum_IP,21,35,23,29,21,24,22,25,37,25,25,32,16,19,17.5,29
main_Cerebellum_NODgr,138,139,116,127.5,110,114,128,137,,119,,,93,98,95.5,
main_Cerebellum_NODmo,130,139,114,126.5,90,141,105,134.5,,125,,,95,96,95.5,
main_Cerebellum_PYRgr,128,138,126,132,99,120,98,141,,126,,,95,107,101,
main_Cerebellum_PYRmo,145,130,130,130,89,132,107,150,,98,,,81,90,85.5,
main_Cerebellum_UVUgr,138,,,,97,125,121,120.5,,115,,,91.5,89,90.25,
main_Cerebellum_UVUMo,146,,,,93,152,120,156,,94,,,100,103.5,101.75,
main_CorticalSubplate_CLA,229,257,264,260.5,245,199,266,289,275,245,267,292,247,255.5,251.25,193
main_CorticalSubplate_EPd,201,185,190,187.5,182,111,209.5,231,194,183,222,201,164,166,165,142.5
main_FibreTracts_aco,13,12,5,8.5,2,1,5,3,6,6,,6,25,14,19.5,4
main_FibreTracts_act,1,2,2,2,6,15,1,1,6,8,5,6,5,4,4.5,7
main_FibreTracts_alv,12,8,4,6,6,7,5,8,11,,7,4,4,10,7,5
main_FibreTracts_arb,1,1,1,1,,1,0,1,2,1,1,1,1,1,1,2
main_FibreTracts_bsc,22,4,9,6.5,7,4,10,5,8,10,3,2,7,13,10,4
main_FibreTracts_cc,13,7,8,7.5,6,4,4,6,9,7,6,6,7,8,7.5,6
