Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
Age,3,3,3,3,3,6,6,6,12,12,12,18,18,18,18,18
main_Cerebellum_ANcr1gr,,,,,18.49126178,,,18.2038835,19.21825397,,19.11201299,19.5942029,,,,
main_Cerebellum_ANcr1mo,,,,,15.46420729,,,16.71034483,15.35714286,,18.51206897,14.61111111,,,,
main_Cerebellum_CENT2gr,17.93548387,,,,,19,19.225,,,18.81447964,,,19.98743719,19.26004464,19.62374091,
main_Cerebellum_CENT2mo,14.88439394,,,,,17.30487805,15.8172043,,,16.47455322,,,17.30825773,17.62032164,17.46428968,
main_Cerebellum_CENT3gr,18.05652174,17.9044586,17.6531676,17.7788131,18.08943089,18.7625,18.60204858,18.81741192,18.06896552,18.34534341,19.11166229,18.49622576,19.74074074,19.06053965,19.40064019,18.54651163
main_Cerebellum_CENT3mo,15.81372549,16.34799936,16.84848485,16.59824211,14.39089027,17.74040322,16.31674082,16.52,17.55633803,16.74782609,17.26666667,18.07373272,17.10326087,18.02912621,17.56619354,17.31891892
"main_Cerebellum_CUL4,5gr",17.35779817,17.63171376,17.28819352,17.45995364,18.47761194,18.25306327,18.17708333,18.5545047,18.30390101,18.68026951,19.12155172,18.63376339,19.72483221,19.14705882,19.43594552,18.6147541
"main_Cerebellum_CUL4,5mo",16.28589585,16.12903226,16.2962963,16.21266428,15.18465909,17.86597938,16.45700007,16.85245902,17.6978022,15.8117377,15.39131653,18.10928998,16.02805123,17.10300619,16.56552871,16.76470588
main_Cerebellum_DECgr,17.90017422,18.37096774,18.05904762,18.21500768,18.53921569,18.44981452,18.36828378,,,18.76283847,,,19.1854226,19.41599466,19.30070863,
main_Cerebellum_DECmo,16.19178082,15.20338983,16.40336134,15.80337559,14.87378641,17.05714286,16.03370787,,,14.14925987,,,15.07101128,15.83457711,15.4527942,
main_Cerebellum_FN,18.59515766,18.82386364,16.48076923,17.65231643,11.46428571,18.95150987,19.3844697,21,,20.55258621,,,18.61481481,19.64285714,19.12883598,20.5
main_Cerebellum_FOTUgr,18.4,18.26487182,17.88284314,18.07385748,18.61797753,18.039801,18.14279514,,,18.11739552,,,18.20987654,18.20550351,18.20769003,
main_Cerebellum_FOTUmo,15.34450777,14.92614456,15.76785714,15.34700085,14.80851064,16.85555556,14.9256583,,,15.15686275,,,13.66869919,13.78640777,13.72755348,
main_Cerebellum_IP,19.95326087,16.20588235,15.81818182,16.01203209,16.40588235,18.91176471,19.66666667,16.32976974,17.34146341,19,17.45555556,18.68628763,19.90546218,18.58064516,19.24305367,19.58333333
main_Cerebellum_NODgr,16.89156627,16.73383459,17.06040268,16.89711864,17.61666667,16.92105263,17.22321429,17.20713563,,18.15079365,,,19.31516309,17.79207921,18.55362115,
main_Cerebellum_NODmo,14.72022235,14.30656934,14.44094488,14.37375711,13.08571429,15.13432836,14.19811321,14.59399493,,15.47413793,,,14.6875,14.30526316,14.49638158,
main_Cerebellum_PYRgr,17.82857143,17.87301587,17.60576923,17.73939255,17.04201681,17.58787879,17.63461538,18.05,,17.52666667,,,17.73913043,17.27279412,17.50596228,
main_Cerebellum_PYRmo,15.0794702,15.34600271,15.90814096,15.62707184,13.8125,16.40328546,14.98378582,16.62903226,,16.08982684,,,14.50274725,14.43434343,14.46854534,
main_Cerebellum_UVUgr,16.67684396,,,,16.18181818,16.82786885,17.66964286,17.25062943,,17.51547619,,,18.06066176,17.47250409,17.76658293,
main_Cerebellum_UVUMo,15,,,,13.03571429,15.81725105,14.5862069,14.81290323,,14.9894412,,,14.40333415,14.31314286,14.3582385,
main_CorticalSubplate_CLA,14.95945946,16.12783988,15.89302326,16.01043157,15.54427579,15.40677966,16.15960912,16.16825397,16.18431373,16.75591258,16.50087719,17.25874126,16.02843602,16.43100285,16.22971944,15.72164948
main_CorticalSubplate_EPd,15.13479983,15.79716981,16.18,15.98858491,15.05952381,14.47482014,16.64250043,16.26191339,16.77021578,16.98507463,17.00654794,17.43005707,16.19349593,16.57825905,16.38587749,16.00543923
main_FibreTracts_aco,15.13392857,15.23157895,15.66666667,15.44912281,13,9,15.52380952,14.13953488,18.1,16.28409091,,16.62541332,18.79591837,16.51666667,17.65629252,17.92857143
main_FibreTracts_act,11,15.88888889,13,14.44444444,16.5,17.42918623,12.5,14.73768116,17.92857143,17.28180751,19.63043478,19,17.26470588,18.5,17.88235294,16.45454545
main_FibreTracts_alv,15.60556465,15.59259259,16.9,16.2462963,15.5,16.04347826,16.63782051,15.81481481,17.25,,19.04545455,18.10180995,17,17.24242424,17.12121212,18.92307692
main_FibreTracts_arb,11,12.08333333,9,10.54166667,,13,0,12.5,21.5,17,15.5,18.375,13,18.5,15.75,21
main_FibreTracts_bsc,14.84792627,15.93181818,16.33333333,16.13257576,15.81818182,15.36666667,17.72222222,15.95833333,18.5,18.75,19.95454545,19,16.83854167,16.55172414,16.6951329,17.93333333
main_FibreTracts_cc,14.15384615,13.74025974,14.11952381,13.92989177,13.5,14.24615385,14.45454545,14.2,15.17105263,15.48275862,15.09435612,15.65450928,15.55,15,15.275,15.30769231
main_FibreTracts_cpd,0,15.90909091,0,7.954545455,0,0,15,0,18.48913043,16.95744681,15,17.75,16,16.58333333,16.29166667,13.10344828
main_FibreTracts_fi,14.66666667,15,11,13,11.23076923,0,0,12,21,13.30555556,14.75,17.2,0,15,7.5,7
main_FibreTracts_int,,16.26315789,15.69781931,15.9804886,16.64285714,11.575,17.51515152,17.24096386,18.35248447,17.90981432,17.92210145,18.51132537,17.32045604,17.42463235,17.37254419,17.6
main_FibreTracts_lot,,15.97727273,16.25816993,16.11772133,14.25,17,17.37482219,15.52631579,18.5326087,15.91273165,19.275,19.5,19.65151515,19.16666667,19.40909091,19.42105263
main_FibreTracts_mcp,8,0,0,0,0,,0,7.5,14.58333333,19,0,12,0,12.83333333,6.416666667,0
main_FibreTracts_ml,17.16333333,15.52179487,15.61538462,15.56858974,16.45454545,19.92,19.35032895,16.5,20.18333333,17.71052632,18.55555556,17.90909091,18.92857143,17,17.96428571,20.26538462
main_FibreTracts_opt,,0,0,0,0,0,0,0,9,9.4,0,0,0,13.25,6.625,8
main_FibreTracts_scp,,18.4,15.31326531,16.85663265,16.66666667,19.78947368,16.96296296,17.30707547,20.26080247,,19.8125,21.13055556,18.87593985,18.3,18.58796992,20
main_FibreTracts_sctv,,13.5,17.56696429,15.53348214,14.47058824,17.10622711,14.77380952,17,16.78021978,18.72222222,17.69047619,20.66071429,17.125,18.7,17.9125,15.26136364
main_FibreTracts_sptV,,,,,14.25,,0,15.84615385,20.18214286,19,19.83333333,17.78007519,20,20.83333333,20.41666667,21
main_FibreTracts_st,,17.04166667,16.4,16.72083333,15.92222222,17.625,21.09090909,17.02941176,19,,18.20833333,19,17.4,19.6,18.5,19.93103448
main_FibreTracts_tb,0,17.57692308,,17.57692308,16,,14.26923077,18.4,20.91666667,22.66666667,15.57142857,18,17,13.625,15.3125,20.3030303
main_FibreTracts_vlln,0,9,0,4.5,11,0,0,5.5,11.75,10.5,22.75,17,5,0,2.5,14.75
main_Hippocampus_CA1slm,16.83555556,16.75510204,17.22164948,16.98837576,17.1990172,18.08770979,18.26239067,17.34947412,17.10731181,17.37955243,16.59589041,17.82074483,18.19970823,18.00849858,18.10410341,17.3122807
main_Hippocampus_CA1so,15.28846154,15.1759142,15.01279318,15.09435369,15.7454019,16.12135507,15.57113402,15.50666667,15.66632188,15.32475175,15.31944306,16.25284091,15.71174537,15.38388626,15.54781581,14.93195292
main_Hippocampus_CA1sp,16.86298136,16.56185771,17.70159506,17.13172638,17.44388837,18.3356803,17.85087719,16.09756098,15.89430894,16.39760096,15.59293839,15.85887097,16.08602151,15.6955747,15.8907981,15.56397274
main_Hippocampus_CA1sr,16.54641609,16.37231504,15.71083826,16.04157665,16.63567535,16.91281451,16.34364618,16.6010145,16.64389234,15.92504621,16.38117647,17.44153187,16.11617312,16.88443396,16.50030354,15.84766585
main_Hippocampus_CA2slm,14.71274298,14.11016121,14.73214286,14.42115203,14.14564656,14.69794444,14.88706687,14.35785288,15.10798122,14.51091703,13.99429879,14.92060274,15.17745074,15.22004357,15.19874716,14.10438413
main_Hippocampus_CA2so,14.31523174,13.84677419,14.30632644,14.07655032,13.99135447,15.09706546,14.9128435,14.26753247,14.30087593,14.27539035,13.43659487,14.91543242,14.55128205,14.63387474,14.59257839,13.79096045
main_Hippocampus_CA2sp,19.19666667,16.75609756,17.63636364,17.1962306,17.95507246,20.89849624,24.90764588,19.37662338,20.69390751,20.35,19.0794347,17.59578947,22.18947368,17.07628698,19.63288033,19.43799153
main_Hippocampus_CA2sr,14.13804071,14.00958466,13.67560322,13.84259394,14.38242894,15.29950495,14.83387622,14.06683168,14.05722071,13.89444444,13.20891365,14.35279805,14.14925373,14.32949309,14.23937341,13.85087719
main_Hippocampus_CA3slm,13.43161094,13.15925926,13.35400517,13.25663221,13.67006057,14.32469448,13.34673367,13.45242387,13.97264525,13.81402439,13.53753287,13.89556009,14.4272997,13.373297,13.90029835,13.50505051
