Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
Age,3,3,3,3,3,6,6,6,12,12,12,18,18,18,18,18
main_Cerebellum_ANcr1gr,,,,,158,,,165,132.5,,113.5,91,,,,
main_Cerebellum_ANcr1mo,,,,,173.5,,,179,147,,119.5,159,,,,
main_Cerebellum_CENT2gr,154,,,,,124,146,,,117,,,70,125,97.5,
main_Cerebellum_CENT2mo,168.5,,,,,212,189,,,110,,,158.5,143,150.75,
main_Cerebellum_CENT3gr,157,170,168,169,156,116,137,142.5,119,131.5,105.5,110,75,125.5,100.25,78
main_Cerebellum_CENT3mo,162,165.5,160,162.75,170,177,165.5,151,130,130,134,127,148,157,152.5,162
"main_Cerebellum_CUL4,5gr",169,182,171.5,176.75,175,127.5,144,158,127,119.5,105,110,75,115,95,89
"main_Cerebellum_CUL4,5mo",160,148,136,142,155,166,167,148,138,140.5,137.5,140.5,148.5,145,146.75,137
main_Cerebellum_DECgr,176.5,174,147,160.5,163,124.5,142,,,119.5,,,79,107,93,
main_Cerebellum_DECmo,155,140,119,129.5,140,159,180,,,165.5,,,141,166.5,153.75,
main_Cerebellum_FN,62.5,61,80,70.5,10,49,49,49,,54,,,19,45,32,39
main_Cerebellum_FOTUgr,188,190,172,181,171,152,153,,,137,,,85,113.5,99.25,
main_Cerebellum_FOTUmo,185,173,163,168,178,190,207.5,,,173,,,132.5,189,160.75,
main_Cerebellum_IP,47,77,69,73,64,43,45,65,62,57,59,63,31,60,45.5,53
main_Cerebellum_NODgr,166,167,167,167,160,132,147,154,,129,,,84,120,102,
main_Cerebellum_NODmo,207,215,196,205.5,212,201,202,188.5,,147,,,163,164,163.5,
main_Cerebellum_PYRgr,178,192,181,186.5,147,142,149,177,,126,,,89,123,106,
main_Cerebellum_PYRmo,215,171,180,175.5,175,178,206,180,,137,,,152,172,162,
main_Cerebellum_UVUgr,162.5,,,,150,135,144,154,,109,,,87,116,101.5,
main_Cerebellum_UVUMo,226,,,,204,207,219,228,,162.5,,,137,175.5,156.25,
main_CorticalSubplate_CLA,246,298,284,291,286,263,291,305,263,244.5,264.5,310,205,288.5,246.75,185
main_CorticalSubplate_EPd,251,257,241,249,290,224,262.5,294,220,219,233,243.5,198.5,234,216.25,172.5
main_FibreTracts_aco,72,53,33,43,35,2,26,50,52,62,,60.5,56,71.5,63.75,22
main_FibreTracts_act,31,88,108,98,98,19.5,14,134.5,74,68.5,93.5,61,14,61,37.5,37
main_FibreTracts_alv,34,27,9,18,36,7,11.5,24,34,,18,16.5,5,22,13.5,8
main_FibreTracts_arb,22,18,21,19.5,,6,6,17,24,26,21,7,2,13,7.5,14
main_FibreTracts_bsc,47,9,16,12.5,13,5,17,8,12,17,5.5,5,9,25,17,7
main_FibreTracts_cc,106,79,84,81.5,96,7,46,90,74,51,85,62,11,64.5,37.75,43
main_FibreTracts_cpd,2,17,8,12.5,9,1,12,7,25,23,5,7,3,21,12,3
main_FibreTracts_fi,22,15,15,15,77,1,6,45,32.5,15,42,62,1,24,12.5,7
main_FibreTracts_int,,29,33,31,70,2,38,65,43,40,18,44,3,42,22.5,13
main_FibreTracts_lot,,50,52,51,77,31,80,96,38.5,113.5,21,20,7,40,23.5,47
main_FibreTracts_mcp,6,3,4,3.5,4,,4.5,5,4,68,1,4,1,19,10,2
main_FibreTracts_ml,18.5,8,11,9.5,16,9,12,34,10,12,18,11,6,19,12.5,8
main_FibreTracts_opt,,1,1,1,1,1,1,2,1,4,0,2,1,4,2.5,2
main_FibreTracts_scp,,14,27,20.5,14,23,24.5,24,28,,14,15,10,21,15.5,14
main_FibreTracts_sctv,,4,12.5,8.25,6,5,4,8,31,6,4,5,3,7,5,3
main_FibreTracts_sptV,,,,,8,,2,6,12,13,7,5,4,5,4.5,12
main_FibreTracts_st,,52.5,54,53.25,78,26,56,75.5,38,,65.5,77,10,60,35,36
main_FibreTracts_tb,2,11,,11,20,,5,13,8,52,2,16,2,37,19.5,17
main_FibreTracts_vlln,0,1,0,0.5,2,0,0,1,2,2,9,2,0,0,0,1
main_Hippocampus_CA1slm,338,361,360,360.5,396,348,354,334,323,297.5,331,311,314,327,320.5,287
main_Hippocampus_CA1so,442,451,420,435.5,468,428,443,446,392,392,424.5,430,396,422,409,371
main_Hippocampus_CA1sp,188,207,156.5,181.75,217,121.5,182,218,149,144,204,181,83,167.5,125.25,111
main_Hippocampus_CA1sr,445,469,429.5,449.25,487,457,468,444,420,404,414,431,434,449,441.5,385
main_Hippocampus_CA2slm,461,471,451,461,459,451,445.5,462,457,434,464,432.5,438.5,422,430.25,407
main_Hippocampus_CA2so,453,434,420.5,427.25,423,452,411,440,452,439.5,421,457.5,424,424.5,424.25,402
main_Hippocampus_CA2sp,119.5,128,127,127.5,174.5,82.5,98.5,137,140.5,100,172.5,168.5,83,147.5,115.25,116
main_Hippocampus_CA2sr,439.5,440,428,434,440,449,425,441,428,409,426,442,424,411,417.5,385
main_Hippocampus_CA3slm,477,465,469,467,489,457.5,452,465,473.5,443,439.5,436,421,427,424,435
main_Hippocampus_CA3slu,204.5,214.5,215,214.75,259,226,225,203,183,166,193,219,210,212.5,211.25,157.5
main_Hippocampus_CA3so,360,355,353,354,401,350.5,341.5,382.5,331,347.5,361,374,298.5,332.5,315.5,325
main_Hippocampus_CA3sp,174,159,138,148.5,184,120,163,178,141,108,155,155,82,144.5,113.25,102
main_Hippocampus_CA3sr,436,439.5,430,434.75,470,415.5,411,452,418,405,419.5,441.5,383,417,400,377
main_Hippocampus_DGgrInf,176,190,141.5,165.75,195,101,154.5,201,173,140,200,206.5,89,170,129.5,131
main_Hippocampus_DGgrSup,195,172,156.5,164.25,184,102.5,156,197,182,151,175,203,101,179.5,140.25,142
main_Hippocampus_DGmoInf,484.5,497,465,481,500,435,472,478,459.5,429,463,462,413.5,458,435.75,399.5
main_Hippocampus_DGmoSup,492,496,469,482.5,509,435,474,463,430,417,465,455,417.5,466.5,442,386
main_Hippocampus_DGpo,231,203,182.5,192.75,255.5,200,208,238,219,200,231,220,152,193,172.5,166
main_Hippocampus_SUB,225.5,241,218,229.5,282,236,254,225,222,194,213,233.5,158.5,200,179.25,171
main_Hypothalamus_LHA,113,113,105,109,142,102,108,118,105,110,124,107,63,93,78,80
main_Hypothalamus_LPO,111,121,107,114,123,80,99,116,101,104,,114,72,106,89,77
main_Hypothalamus_PSTN,,150,134.5,142.25,160.5,100,98,131,150.5,129.5,,,,,,107
main_Hypothalamus_ZI,80,63,67,65,106,56,76,101,73.5,80,55,72.5,34,70,52,45
main_Isocortex_FRP1,324,337,312,324.5,363,305,369,309.5,334,286,294,292,298.5,315,306.75,269
main_Isocortex_FRP2-3,322,312.5,327,319.75,328,275.5,330,296,255,203,238.5,237,258.5,274,266.25,167.5
main_Isocortex_MO1,345,351,323,337,355.5,354,373,340,340,297,308,,332,355,343.5,270
main_Isocortex_MO2-3,328,308,294,301,334,290,337,313.5,265,193,257,235,157.5,255,206.25,158.5
main_Isocortex_MO5,323,294.5,285,289.75,312,276,315,296,276,198,261,238,155,254,204.5,152
main_Isocortex_MO6a,290,270,257.5,263.75,286,254,280,270,240,175,238,224,163,234,198.5,140
main_Isocortex_MO6b,214.5,218,215.5,216.75,239.5,196,212,199.5,196,161,210,195,133,211,172,131
main_Isocortex_ORB1,351.5,339,335,337,357,335,362.5,324,332,297,310,321,311.5,318,314.75,261
main_Isocortex_ORB2-3,325,314,291,302.5,342,319,356.5,320.5,278,224,264,272,181.5,281,231.25,169
main_Isocortex_ORB5,300.5,301,294,297.5,316.5,291,309,303,259,191,273,279,175,273,224,168
main_Isocortex_ORB6a,264,276,265,270.5,286,267,282,282,232,201,254,253,163,247,205,149
