Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
Age,3,3,3,3,3,6,6,6,12,12,12,18,18,18,18,18
main_Cerebellum_ANcr1gr,,,,,49.5579046,,,47.34363525,40.60705037,,39.3223082,35.68928906,,,,
main_Cerebellum_ANcr1mo,,,,,42.96425665,,,45.96774236,42.92778392,,41.40066287,42.88943243,,,,
main_Cerebellum_CENT2gr,44.72374576,,,,,42.88981416,47.26805882,,,35.97411111,,,33.62651975,38.65089942,36.13870959,
main_Cerebellum_CENT2mo,44.73763345,,,,,50.40175806,46.42099219,,,39.52686718,,,46.76192782,43.3169841,45.03945596,
main_Cerebellum_CENT3gr,45.08623881,46.71504688,46.68655344,46.70080016,45.03630263,41.75877632,46.25497163,42.53472407,41.32185946,39.18218267,35.89916176,38.35752195,33.90102609,38.6097615,36.25539379,33.02174074
main_Cerebellum_CENT3mo,44.89409662,44.0257168,45.04536649,44.53554165,42.88238784,48.6802202,45.82861556,43.95905882,43.22309143,42.06157727,47.24536471,41.9154321,48.92870025,45.52190526,47.22530276,43.38980247
"main_Cerebellum_CUL4,5gr",47.61217829,50.88413598,48.41249195,49.64831396,48.38613587,45.23728309,45.8986875,44.17321702,42.2615294,39.1371533,37.24689974,38.110289,33.25204651,37.51646429,35.3842554,35.28809649
"main_Cerebellum_CUL4,5mo",45.597428,42.34415,43.44655556,42.89535278,42.31848623,49.15223958,46.04478731,42.46541935,43.90588618,42.98298022,41.76244873,44.31502774,44.7190559,44.54346832,44.63126211,45.5143
main_Cerebellum_DECgr,52.44533699,48.12261792,46.17387596,47.14824694,49.23272414,43.8489981,45.25440681,,,39.71750345,,,31.76912389,36.56977971,34.1694518,
main_Cerebellum_DECmo,45.35510753,40.17277934,41.14185294,40.65731614,39.86502793,45.99006061,46.00124,,,41.91968946,,,39.87587833,44.60828808,42.2420832,
