Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
Age,3,3,3,3,3,6,6,6,12,12,12,18,18,18,18,18
main_Cerebellum_ANcr1gr,,,,,17.28432665,,,15.54368932,14.79211087,,14.81584158,14.2952381,,,,
main_Cerebellum_ANcr1mo,,,,,12.37193362,,,12.21596244,12.61290323,,14.91485507,12.67765568,,,,
main_Cerebellum_CENT2gr,15.22727273,,,,,13.55072464,14.93333333,,,13.96039604,,,13.83232932,14.46558442,14.14895687,
main_Cerebellum_CENT2mo,12.89703757,,,,,13.73891626,13.04026846,,,12.02765904,,,13.17159307,11.92885872,12.5502259,
main_Cerebellum_CENT3gr,14.59868421,15.44761905,15.24329382,15.34545644,16.46153846,13.62921348,14.57998252,14.48660714,14.46276596,14.20311438,14.01978383,14.05905923,13.78723404,14.5196415,14.15343777,13.72580645
main_Cerebellum_CENT3mo,12.36363636,12.70729344,12.91578947,12.81154146,12.70885248,13.09966829,12.44361718,12.12962963,11.53205128,11.92261905,12.5625,11.64383562,12.68098664,12.25702811,12.46900738,12.93406593
"main_Cerebellum_CUL4,5gr",14.42348754,15.47187208,14.78423773,15.1280549,16.48301887,13.84690657,14.38271605,14.80367359,14.323706,14.25685687,13.92809629,14.10300926,13.96551724,14.19298246,14.07924985,13.56521739
"main_Cerebellum_CUL4,5mo",12.12703721,12.4469697,12.39473684,12.42085327,12.40948522,12.91707317,12.08483213,12.03092784,11.93220339,12.46760711,12.50257732,12.07194771,13.13478267,12.0615942,12.59818844,12.60227273
main_Cerebellum_DECgr,15.31799257,16.25538462,15.82085687,16.03812074,16.63576159,14.09287149,15.117497,,,14.35298935,,,14.07823427,14.43566434,14.2569493,
main_Cerebellum_DECmo,12.19457014,12.65217391,12.09615385,12.37416388,12.54901961,12.96727273,12.15770609,,,12.35978836,,,13.65294542,12.65749748,13.15522145,
main_Cerebellum_FN,15.61911488,15.56896552,14.89285714,15.23091133,14.28054299,15.91611842,16.11655405,17.26086957,,14.34303069,,,17.49,15.57575758,16.53287879,14.69811321
main_Cerebellum_FOTUgr,16.65,17.22518878,17.20464267,17.21491573,17.72972973,15.31764706,16.48929564,,,14.66374717,,,15.17557252,14.86803674,15.02180463,
main_Cerebellum_FOTUmo,12.46125889,12.67225951,12.43809524,12.55517737,12.56818182,12.79908676,12.63278179,,,12.26296296,,,14.72780887,12.82051282,13.77416084,
